epoch,accuracy,loss,val_accuracy,val_loss
0,0.3634099,1.330513756789232,0.41786742210388184,1.2933402621436876
1,0.6277332,1.012276017316121,0.6253602504730225,0.9502234014035645
2,0.7890949,0.6131382757050821,0.6829971075057983,0.7983947262296759
3,0.83974534,0.4344322533776415,0.6743515729904175,0.8165698620015674
4,0.8760033,0.34522455507554806,0.6887608170509338,0.8238153888787592
5,0.9003598,0.2841300880755541,0.6657060384750366,0.8858427669885179
6,0.9208414,0.23724456387990867,0.6599423885345459,0.9116460507472586
7,0.936341,0.2006250110328808,0.6743515729904175,0.9681066351940034
8,0.9454747,0.17240367191973863,0.6657060384750366,1.0184961074710923
9,0.9540548,0.15101305829243022,0.6599423885345459,1.0722287931084977
10,0.961251,0.1333976689176549,0.6484149694442749,1.1289311214551458
11,0.96318847,0.1241735431099908,0.6484149694442749,1.179288040664079
12,0.96983117,0.1034272849444303,0.6426513195037842,1.2614511660265304
13,0.9703847,0.09942780916805648,0.6426513195037842,1.2670290738086536
14,0.97121507,0.09223520976212624,0.6541786789894104,1.3380723604207767
15,0.96983117,0.09130122665281841,0.6685879230499268,1.368810968715107
16,0.97259897,0.08187486069241356,0.6455331444740295,1.4020581905024196
17,0.97232217,0.08459226660679953,0.6599423885345459,1.4021687304939248
18,0.97204536,0.08134116521097437,0.6570605039596558,1.4412370854908176
19,0.9739828,0.07454595596645798,0.6484149694442749,1.5351831693127107
20,0.97592026,0.07471363661115292,0.6484149694442749,1.4937243099171422
21,0.9753667,0.06751465250127309,0.6714697480201721,1.5287704354404372
22,0.97619706,0.06747738533227225,0.6426513195037842,1.5588105862010109
23,0.9781345,0.06475443143883208,0.6570605039596558,1.5346304913419124
24,0.97868806,0.0684092768441928,0.6570605039596558,1.5516119171631784
